,循环号,放电容量/Ah,矢量
0,0.0,1.0,"[0.16666666666666666, 0, 0, 0, 0, 1.0]"
1,1.0,1.0,"[0, 0.006388888888888889, 0.16666666666666666, 1.0902777777777777, 0.16666666666666666, 1.0]"
2,2.0,0.9972766884531588,"[0, 1.1158333333333335, 0.16666666666666666, 1.0897222222222223, 0.16666666666666666, 0.9972766884531588]"
3,3.0,0.9953401113531832,"[0, 1.1177777777777778, 0.16666666666666666, 1.0894444444444444, 0.16666666666666666, 0.9953401113531832]"
4,4.0,0.9903171145001206,"[0, 1.1172222222222223, 0.16666666666666666, 1.088611111111111, 0.16666666666666666, 0.9903171145001206]"
5,5.0,0.9596949891067545,"[0, 1.1302777777777777, 0.16666666666666666, 1.083611111111111, 0.16666666666666666, 0.9596949891067545]"
6,6.0,0.950859356088114,"[0, 1.1247222222222222, 0.16666666666666666, 1.0822222222222222, 0.16666666666666666, 0.950859356088114]"
7,7.0,0.9679254417816505,"[0, 1.1230555555555557, 0.16666666666666666, 1.0847222222222221, 0.16666666666666666, 0.9679254417816505]"
8,8.0,0.9822682159283467,"[0, 1.1125, 0.16666666666666666, 1.0875, 0.16666666666666666, 0.9822682159283467]"
9,9.0,0.9833575405470825,"[0, 1.1144444444444446, 0.16666666666666666, 1.0875, 0.16666666666666666, 0.9833575405470825]"
10,10.0,0.9821471798595978,"[0, 1.1147222222222224, 0.16666666666666666, 1.0875, 0.16666666666666666, 0.9821471798595978]"
11,11.0,0.9786371338658917,"[0, 1.1152777777777778, 0.16666666666666666, 1.0869444444444443, 0.16666666666666666, 0.9786371338658917]"
12,12.0,0.9751270878721856,"[0, 1.115, 0.16666666666666666, 1.0863888888888888, 0.16666666666666666, 0.9751270878721856]"
13,13.0,0.974158799322197,"[0, 1.1141666666666667, 0.16666666666666666, 1.086111111111111, 0.16666666666666666, 0.974158799322197]"
14,14.0,0.9713749697409826,"[0, 1.1144444444444446, 0.16666666666666666, 1.0855555555555554, 0.16666666666666666, 0.9713749697409826]"
15,15.0,0.970043572984749,"[0, 1.113611111111111, 0.16666666666666666, 1.0852777777777778, 0.16666666666666666, 0.970043572984749]"
16,16.0,0.9669571532316628,"[0, 1.113611111111111, 0.16666666666666666, 1.085, 0.16666666666666666, 0.9669571532316628]"
